Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years
2/14/2018,0.130513458,0.21894288,0.161317455,0.646318608
2/15/2018,0.140571548,0.215127371,0.171931515,0.64042838
2/16/2018,0.141582192,0.2163618,0.170335788,0.636680054
2/17/2018,0.15474003,0.2163618,0.170335788,0.636680054
2/18/2018,0.146341944,0.2163618,0.170335788,0.636680054
2/19/2018,0.156425929,0.2163618,0.170335788,0.636680054
2/20/2018,0.15909703,0.188979912,0.16985028,0.640963855
2/21/2018,0.148417142,0.190326563,0.168337339,0.654350736
2/22/2018,0.138154979,0.190999888,0.167571451,0.647389558
2/23/2018,0.142588333,0.188306587,0.179548867,0.635073628
2/24/2018,0.13528131,0.188306587,0.179548867,0.635073628
2/25/2018,0.13306029,0.188306587,0.179548867,0.635073628
2/26/2018,0.143570538,0.191112109,0.187458819,0.631860776
2/27/2018,0.148944163,0.174054539,0.178886485,0.64497992
2/28/2018,0.144037684,0.174054539,0.173491454,0.634270415
3/1/2018,0.152318972,0.159914712,0.164793056,0.617135207
3/2/2018,0.154346256,0.180338907,0.172066996,0.631325301
3/3/2018,0.160384666,0.180338907,0.172066996,0.631325301
3/4/2018,0.160727528,0.180338907,0.172066996,0.631325301
3/5/2018,0.161636362,0.176972281,0.178920343,0.637751004
3/6/2018,0.149757182,0.194366513,0.182806155,0.636680054
3/7/2018,0.137564618,0.185837729,0.185124493,0.638286479
3/8/2018,0.129021895,0.178992257,0.188069472,0.63373494
3/9/2018,0.128161575,0.181797778,0.200569976,0.641231593
3/10/2018,0.121101291,0.181797778,0.200569976,0.641231593
3/11/2018,0.131771148,0.181797778,0.200569976,0.641231593
3/12/2018,0.12617877,0.178431153,0.203158312,0.63480589
3/13/2018,0.126024995,0.185725508,0.195884372,0.628915663
3/14/2018,0.112174825,0.184042195,0.194548351,0.620615797
3/15/2018,0.112639733,0.17551341,0.193130463,0.623025435
3/16/2018,0.113201041,0.169341264,0.193153985,0.628915663
3/17/2018,0.106890582,0.169341264,0.193153985,0.628915663
3/18/2018,0.111484144,0.169341264,0.193153985,0.628915663
3/19/2018,0.117577517,0.17551341,0.180193378,0.62811245
3/20/2018,0.121812032,0.169116822,0.182080741,0.637215529
3/21/2018,0.122048756,0.179890024,0.180292152,0.644712182
3/22/2018,0.119042118,0.186511054,0.163487127,0.624631861
3/23/2018,0.121305218,0.211985187,0.147114869,0.624096386
